Date,Kurs_USD,Kurs_EUR,Kurs_CHF,SMA_30_USD,Zwrot_USD,Zmiennosc_USD,VaR_95%_USD,SMA_30_EUR,Zwrot_EUR,Zmiennosc_EUR,VaR_95%_EUR,SMA_30_CHF,Zwrot_CHF,Zmiennosc_CHF,VaR_95%_CHF
2024-05-06,4.0132,4.3173,4.4322,4.0079,-0.005,0.1025,-0.0085,4.3043,-0.0025,0.0671,-0.0057,4.4109,-0.0009,0.0896,-0.0087
2024-05-07,3.998,4.3047,4.4092,4.0089,-0.0038,0.1012,-0.0085,4.3043,-0.0029,0.0667,-0.0057,4.4107,-0.0052,0.0876,-0.008
2024-05-08,4.0101,4.311,4.4137,4.01,0.003,0.1014,-0.0085,4.3045,0.0014,0.0668,-0.0057,4.4111,0.001,0.087,-0.008
2024-05-09,4.0006,4.2993,4.4056,4.0105,-0.0024,0.1014,-0.0085,4.304,-0.0027,0.0671,-0.0057,4.4112,-0.0018,0.0871,-0.008
2024-05-10,3.9715,4.2819,4.3866,4.0099,-0.0073,0.1037,-0.0085,4.3034,-0.004,0.0679,-0.0057,4.41,-0.0043,0.087,-0.008
2024-05-13,3.9923,4.2998,4.4038,4.0103,0.0052,0.1048,-0.0085,4.3034,0.0042,0.0689,-0.0057,4.4096,0.0039,0.0877,-0.008
2024-05-14,3.9686,4.2839,4.3712,4.0093,-0.0059,0.1057,-0.0085,4.3032,-0.0037,0.0696,-0.0057,4.4081,-0.0075,0.0902,-0.0083
2024-05-15,3.945,4.2663,4.3502,4.008,-0.006,0.1068,-0.0085,4.3024,-0.0041,0.0706,-0.0057,4.4068,-0.0048,0.0893,-0.0083
2024-05-16,3.913,4.2598,4.3447,4.0065,-0.0081,0.1079,-0.0085,4.3013,-0.0015,0.0707,-0.0057,4.4055,-0.0013,0.0893,-0.0083
2024-05-17,3.9183,4.2582,4.3242,4.0051,0.0013,0.108,-0.0085,4.3003,-0.0004,0.0707,-0.0057,4.4033,-0.0047,0.0901,-0.0083
2024-05-20,3.9149,4.2559,4.3085,4.0039,-0.0009,0.108,-0.0085,4.2995,-0.0005,0.0703,-0.0057,4.401,-0.0036,0.0902,-0.0083
2024-05-21,3.9126,4.2492,4.3015,4.0036,-0.0006,0.1054,-0.0085,4.2992,-0.0016,0.0692,-0.0057,4.4,-0.0016,0.0856,-0.0072
2024-05-22,3.9159,4.2506,4.2971,4.0032,0.0008,0.1053,-0.0085,4.2987,0.0003,0.0691,-0.0057,4.3983,-0.001,0.0846,-0.0072
2024-05-23,3.9378,4.2627,4.3052,4.0022,0.0056,0.1023,-0.0085,4.2988,0.0028,0.0695,-0.0057,4.3968,0.0019,0.0849,-0.0072
2024-05-24,3.9407,4.2617,4.3116,4.0011,0.0007,0.1023,-0.0085,4.2988,-0.0002,0.0695,-0.0057,4.395,0.0015,0.084,-0.0072
2024-05-27,3.9211,4.2534,4.2877,3.9978,-0.005,0.0965,-0.0085,4.2979,-0.0019,0.0685,-0.0057,4.3912,-0.0056,0.0816,-0.0072
2024-05-28,3.9214,4.2592,4.2934,3.9936,0.0001,0.0938,-0.0085,4.2965,0.0014,0.067,-0.0057,4.3863,0.0013,0.076,-0.0072
2024-05-29,3.9175,4.2479,4.2933,3.9872,-0.001,0.0796,-0.0085,4.2925,-0.0027,0.0489,-0.0057,4.3793,-0.0,0.0613,-0.0072
2024-05-30,3.9613,4.2796,4.3385,3.9837,0.0111,0.0825,-0.0078,4.2906,0.0074,0.0515,-0.0043,4.3751,0.0105,0.0666,-0.0066
2024-05-31,3.95,4.2785,4.3721,3.9795,-0.0028,0.0821,-0.0078,4.2887,-0.0003,0.0515,-0.0043,4.372,0.0077,0.0711,-0.0066
2024-06-03,3.9353,4.2709,4.3682,3.9761,-0.0037,0.0792,-0.0072,4.2876,-0.0018,0.0472,-0.0041,4.3698,-0.0009,0.0687,-0.0059
2024-06-04,3.9139,4.2693,4.3749,3.9716,-0.0055,0.0797,-0.0072,4.2861,-0.0004,0.0468,-0.0041,4.3676,0.0015,0.0687,-0.0059
2024-06-05,3.9571,4.3059,4.4456,3.9694,0.011,0.0855,-0.0072,4.2862,0.0085,0.0531,-0.0041,4.3687,0.016,0.0816,-0.0056
2024-06-06,3.9422,4.2868,4.418,3.9659,-0.0038,0.0835,-0.0072,4.2847,-0.0044,0.0514,-0.0043,4.3683,-0.0062,0.0831,-0.0059
2024-06-07,3.9315,4.2818,4.4181,3.963,-0.0027,0.0816,-0.0069,4.2837,-0.0012,0.05,-0.0041,4.3687,0.0,0.0815,-0.0059
2024-06-10,3.9943,4.3053,4.4578,3.9617,0.0159,0.0941,-0.0069,4.2832,0.0055,0.0524,-0.0041,4.3702,0.009,0.0853,-0.0059
2024-06-11,4.0155,4.3241,4.4804,3.9613,0.0053,0.0953,-0.0069,4.2836,0.0044,0.0538,-0.0041,4.3722,0.0051,0.0863,-0.0059
2024-06-12,4.0396,4.3385,4.4991,3.9607,0.006,0.0936,-0.0069,4.2839,0.0033,0.0534,-0.0041,4.3751,0.0042,0.0868,-0.0059
2024-06-13,4.0057,4.3313,4.4788,3.9597,-0.0084,0.0949,-0.0078,4.2841,-0.0017,0.0535,-0.0041,4.3776,-0.0045,0.0876,-0.0059
2024-06-14,4.0454,4.3465,4.527,3.9601,0.0099,0.0993,-0.0078,4.2847,0.0035,0.0545,-0.0041,4.3806,0.0107,0.0902,-0.0059
2024-06-17,4.0906,4.3775,4.5917,3.9627,0.0111,0.103,-0.0078,4.2867,0.0071,0.0575,-0.0041,4.3859,0.0142,0.0982,-0.0059
2024-06-18,4.0432,4.3426,4.5535,3.9642,-0.0116,0.1083,-0.0083,4.288,-0.008,0.0618,-0.0043,4.3907,-0.0084,0.1004,-0.0069
2024-06-19,4.0377,4.3343,4.5639,3.9652,-0.0014,0.1081,-0.0083,4.2888,-0.0019,0.062,-0.0043,4.3957,0.0023,0.1004,-0.0069
2024-06-20,4.0211,4.3211,4.5489,3.9658,-0.0041,0.1086,-0.0083,4.2895,-0.0031,0.0622,-0.0043,4.4005,-0.0033,0.1009,-0.0069
2024-06-21,4.0373,4.3257,4.5319,3.968,0.004,0.1067,-0.0083,4.2909,0.0011,0.0609,-0.0043,4.4054,-0.0038,0.1006,-0.0069
2024-06-24,4.0474,4.3256,4.5249,3.9699,0.0025,0.106,-0.0083,4.2918,-0.0,0.0598,-0.0043,4.4094,-0.0015,0.1005,-0.0069
2024-06-25,3.9965,4.2901,4.4725,3.9708,-0.0126,0.1111,-0.0102,4.292,-0.0082,0.0637,-0.0064,4.4128,-0.0117,0.1042,-0.0074
2024-06-26,4.0113,4.2977,4.482,3.973,0.0037,0.11,-0.0102,4.2931,0.0018,0.0626,-0.0064,4.4172,0.0021,0.1029,-0.0074
2024-06-27,4.0377,4.3118,4.5006,3.9772,0.0066,0.1081,-0.0102,4.2948,0.0033,0.063,-0.0064,4.4224,0.0041,0.1031,-0.0074
2024-06-28,4.0229,4.3078,4.4798,3.9806,-0.0037,0.109,-0.0102,4.2964,-0.0009,0.0631,-0.0064,4.4276,-0.0046,0.1031,-0.0074
2024-07-01,4.0167,4.3121,4.4642,3.984,-0.0015,0.1091,-0.0102,4.2983,0.001,0.0631,-0.0064,4.4327,-0.0035,0.103,-0.0074
2024-07-02,4.0193,4.3154,4.4496,3.9876,0.0007,0.109,-0.0102,4.3005,0.0008,0.0628,-0.0064,4.4377,-0.0033,0.1035,-0.0074
2024-07-03,4.0089,4.3088,4.4356,3.9907,-0.0026,0.1095,-0.0102,4.3025,-0.0015,0.063,-0.0064,4.4423,-0.0031,0.1041,-0.0074
2024-07-04,3.9841,4.2961,4.4208,3.9922,-0.0062,0.1103,-0.0102,4.3036,-0.0029,0.0634,-0.0064,4.4462,-0.0034,0.1048,-0.0074
2024-07-05,3.9579,4.2788,4.3987,3.9928,-0.0066,0.1121,-0.0102,4.3041,-0.004,0.0646,-0.0064,4.4491,-0.005,0.1062,-0.0074
